,index,Job Title,Salary Estimate,,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,size1,size2,state
937,1053,Food Scientist - Foodservice,$70K,$123K ,3.6,"Conagra Brands
3.6","Chicago, IL","Chicago, IL",10000+ employees,1919,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10 to $25 million (USD),"General Mills, Kellogg Company, Kraft Heinz Company",-1,10000+ employees,, IL
938,1054,Data Sceintist,$70K,$123K ,4,"Antuit
4.0","Chicago, IL","Chicago, IL",201 to 500 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,201,500, IL
939,1055,Data Engineer,$70K,$123K ,4.7,"Capax Global
4.7","Chicago, IL","Chicago, IL",51 to 200 employees,1998,Subsidiary or Business Segment,IT Services,Information Technology,$25 to $50 million (USD),-1,-1,51,200, IL
940,1058,Data Scientist- Senior Advisor,$70K,$123K ,2.9,"CVS Health
2.9","Northbrook, IL","Woonsocket, RI",10000+ employees,1963,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Walmart, Walgreens, Express Scripts",-1,10000+ employees,, IL
941,1059,Food Scientist,$70K,$123K ,-1,VIVA 5,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, IL
942,1064,Data Engineer - RBD,$70K,$123K ,3.3,"Reyes Beer Division
3.3","Rosemont, IL","Rosemont, IL",1001 to 5000 employees,1976,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1,-1,1001,5000, IL
943,1065,"Quantitative Researcher, Market Simulator",$70K,$123K ,4.2,"NJF Global Holdings
4.2","Chicago, IL","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,TRUE,51,200, IL
944,1067,"Data Scientist - Health Outcomes, Advisor",$70K,$123K ,2.9,"CVS Health
2.9","Northbrook, IL","Woonsocket, RI",10000+ employees,1963,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Walmart, Walgreens, Express Scripts",-1,10000+ employees,, IL
945,1068,Talent Acquisition Vendor & Analytics Manager - Virtual,$70K,$123K ,3.4,"PeopleReady
3.4","Chicago, IL","Tacoma, WA",5001 to 10000 employees,1989,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Randstad US, Labor Finders",-1,5001,10000, IL
946,1069,"Quantitative Research Analyst, PhD",$70K,$123K ,-1,Financial Services Company,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, IL
947,1070,Data Engineer - RBD,$70K,$123K ,3.5,"Martin-Brower
3.5","Des Plaines, IL","Rosemont, IL",10000+ employees,1956,Subsidiary or Business Segment,Wholesale,Business Services,$10+ billion (USD),"Sysco, Golden State Foods, Anderson-DuBose",-1,10000+ employees,, IL
948,1073,Jr. Business Intelligence Analyst,$40K,$73K ,2.9,"IFG Companies
2.9","Chicago, IL","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI",-1,201,500, IL
949,1074,"Staff Software Scientist, Reproductive Health",$40K,$73K ,3.4,"Thermo Fisher Scientific
3.4","Chicago, IL","Waltham, MA",10000+ employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Illumina, Agilent Technologies, Roche",-1,10000+ employees,, IL
950,1076,"Data Engineer, Virtualization",$40K,$73K ,3.7,"Northern Trust
3.7","Chicago, IL","Chicago, IL",10000+ employees,1889,Company - Public,Banks & Credit Unions,Finance,$2 to $5 billion (USD),-1,-1,10000+ employees,, IL
951,1077,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),$40K,$73K ,3.2,"BMO
3.2","Chicago, IL","Chicago, IL",10000+ employees,1882,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$2 to $5 billion (USD),"J.P. Morgan, Bank of America, U.S. Bank",-1,10000+ employees,, IL
952,1078,Analytics Manager,$40K,$73K ,4.5,"Smith Hanley Associates
4.5","Chicago, IL","New York, 061",1 to 50 employees,1980,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Kforce, PageGroup, Robert Half",-1,1,50, IL
953,1079,Data Scientist Consultant,$40K,$73K ,3.8,"Capgemini
3.8","Chicago, IL","Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",-1,10000+ employees,, IL
954,1081,Data Engineer (remote),$40K,$73K ,3.3,"Thrivent
3.3","Chicago, IL","Minneapolis, MN",5001 to 10000 employees,1902,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),"Northwestern Mutual, State Farm",-1,5001,10000, IL
955,1086,Data Engineer,$40K,$73K ,3.2,"GoHealth
3.2","Chicago, IL","Chicago, IL",501 to 1000 employees,2001,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"eHealth, Anthem",TRUE,501,1000, IL
956,1087,Environmental Scientist/Engineer (Jr. Level),$40K,$73K ,3.7,"Tetra Tech, Inc.
3.7","Chicago, IL","Pasadena, CA",10000+ employees,1966,Company - Public,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD),-1,-1,10000+ employees,, IL
957,1090,Data Analytics Manager,$40K,$73K ,2.6,"Saggezza
2.6","Chicago, IL","Chicago, IL",501 to 1000 employees,2006,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,501,1000, IL
958,1091,"AI/ML ,Data Engineer",$40K,$73K ,3.9,"Themesoft Inc
3.9","Chicago, IL","Plano, TX",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,51,200, IL
959,1092,Provider Analytics Data Analyst,$40K,$73K ,4.6,"VIVA USA INC
4.6","Chicago, IL","Rolling Meadows, IL",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1,51,200, IL
960,1093,Chief Data Scientist,$40K,$73K ,2.2,"Uptake
2.2","Chicago, IL","Chicago, IL",501 to 1000 employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,-1,501,1000, IL
961,1095,Computer Vision / Deep Learning Scientist,$40K,$73K ,3.2,"Tempus Labs
3.2","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,TRUE,501,1000, IL
962,1097,Associate Food Scientist - Future Opportunities Summer,$40K,$73K ,3.6,"Conagra Brands
3.6","Chicago, IL","Chicago, IL",10000+ employees,1919,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10 to $25 million (USD),"General Mills, Kellogg Company, Kraft Heinz Company",-1,10000+ employees,, IL
963,1098,Data Engineer-SQL-PLSQL-HANA,$40K,$73K ,3.7,"ServiceNow, Inc.
3.7","Chicago, IL","Santa Clara, CA",10000+ employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),"BMC Software, CA Technologies, Salesforce",-1,10000+ employees,, IL
964,1099,Environmental Scientist/Engineer (Mid-Level),$40K,$73K ,3.7,"Tetra Tech, Inc.
3.7","Chicago, IL","Pasadena, CA",10000+ employees,1966,Company - Public,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD),-1,-1,10000+ employees,, IL
965,1100,"Quantitative Researcher, Commodity Options",$40K,$73K ,3.9,"DRW Trading Group
3.9","Chicago, IL","Chicago, IL",1001 to 5000 employees,1992,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000, IL
966,1103,Data Analyst,$38K,$59K ,4.3,"Fast Switch, LTD
4.3","Northbrook, IL","Dublin, OH",501 to 1000 employees,1996,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,501,1000, IL
967,1105,"Associate Research Scientist (Senior Scientist)- Protein HPLC ( SEC , IEX , RP )",$38K,$59K ,3.7,"Pharmaceutical Product Development
3.7","Chicago, IL","Wilmington, NC",10000+ employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1,-1,10000+ employees,, IL
968,1106,Translational Scientist Liaison,$38K,$59K ,2.9,"Caris Life Sciences
2.9","Chicago, IL","Irving, TX",201 to 500 employees,-1,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),-1,-1,201,500, IL
969,1108,Data & Analytics Consultant |,$38K,$59K ,4.6,"Systems Evolution
4.6","Chicago, IL","Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,-1,201,500, IL
970,1109,"Senior Scientist, Decision Sciences",$38K,$59K ,3.4,"Epsilon
3.4","Chicago, IL","Irving, TX",5001 to 10000 employees,1969,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD),Merkle,-1,5001,10000, IL
971,1111,Business Intelligence Analyst,$38K,$59K ,3.5,"PDI
3.5","Chicago, IL","KIRKLAND, Canada",51 to 200 employees,2007,Unknown,-1,-1,Less than $1 million (USD),-1,-1,51,200, IL
972,1114,Pricing Strategy and Analytics Manager,$38K,$59K ,3.5,"MillerCoors
3.5","Chicago, IL","Chicago, IL",5001 to 10000 employees,-1,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$500 million to $1 billion (USD),"Anheuser-Busch InBev, The Boston Beer Company, Constellation Brands",-1,5001,10000, IL
973,1115,Data Analyst / Business Lead Generation Specialist [Part-Time],$38K,$59K ,2.5,"BankFinancial
2.5","Downers Grove, IL","Burr Ridge, IL",201 to 500 employees,2005,Company - Public,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1,-1,201,500, IL
974,1117,Visiting Undergraduate Affairs Data Analyst - Office of the Vice Provost for Undergraduate Affairs & Academic Programs,$38K,$59K ,4.1,"University of Illinois at Chicago
4.1","Chicago, IL","Chicago, IL",5001 to 10000 employees,1982,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,-1,5001,10000, IL
975,1118,Data Analyst,$38K,$59K ,3.6,"Kelly Mitchell Group
3.6","Downers Grove, IL","Saint Louis, MO",1001 to 5000 employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,1001,5000, IL
976,1120,Data Analyst,$38K,$59K ,4.1,"Kforce
4.1","Evanston, IL","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,10000+ employees,, IL
977,1121,"Data Modeler, JLL Technologies",$38K,$59K ,3.7,"JLL
3.7","Chicago, IL","Chicago, IL",10000+ employees,-1,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),"CBRE, Cushman & Wakefield",-1,10000+ employees,, IL
978,1123,"Data Analyst, Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",$38K,$59K ,3.8,"EY
3.8","Chicago, IL","London, United Kingdom",10000+ employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),"Deloitte, KPMG, PwC",-1,10000+ employees,, IL
979,1124,Risk Analyst-Quantitative Researcher 120850,$38K,$59K ,3.2,"Open Systems Technologies (NYC)
3.2","Chicago, IL","New York, NY",51 to 200 employees,1990,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,TRUE,51,200, IL
980,1125,Data Analytics Manager,$38K,$59K ,3.9,"Wavicle Data
3.9","Chicago, IL","Chicago, IL",51 to 200 employees,2014,Private Practice / Firm,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,51,200, IL
981,1126,Data Analyst - Rush Infectious Diseases,$38K,$59K ,3.9,"Rush University Medical Center
3.9","Chicago, IL","Chicago, IL",5001 to 10000 employees,1837,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,5001,10000, IL
982,1127,"Senior Data Analyst, Sales",$38K,$59K ,3.5,"Flexport
3.5","Chicago, IL","San Francisco, CA",1001 to 5000 employees,2013,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD),-1,-1,1001,5000, IL
983,1128,Senior Big Data Engineer - QuantumBlack,$38K,$59K ,4.4,"McKinsey & Company
4.4","Chicago, IL","New York, NY",10000+ employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Boston Consulting Group, Bain & Company, Strategy&",-1,10000+ employees,, IL
984,1129,Data Analyst,$38K,$59K ,4,"MRINetwork
4.0","Des Plaines, IL","Philadelphia, PA",1001 to 5000 employees,1965,Subsidiary or Business Segment,-1,-1,Unknown / Non-Applicable,-1,-1,1001,5000, IL
985,1130,Senior Environmental Soil Scientist,$38K,$59K ,4.1,"MWRD of Greater Chicago
4.1","Chicago, IL","Chicago, IL",1001 to 5000 employees,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,1001,5000, IL
986,1131,"Machine Learning Engineer Chicago, IL",$60K,$105K ,2.7,"STATS
2.7","Chicago, IL","Chicago, IL",501 to 1000 employees,1981,Company - Private,News Outlet,Media,$50 to $100 million (USD),-1,-1,501,1000, IL
987,1132,AI/ML Data Engineer,$60K,$105K ,-1,softsnippets,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, IL
988,1133,Provider Analytics Data Analyst,$60K,$105K ,4.7,"CRS Group
4.7","Chicago, IL","Itasca, IL",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1,51,200, IL
989,1134,Data Engineer,$60K,$105K ,3.6,"Signature Consultants
3.6","Chicago, IL","Fort Lauderdale, FL",1001 to 5000 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"ComforceHealth, TEKsystems, Allegis Group",-1,1001,5000, IL
990,1135,"AI/ML , Data Engineer",$60K,$105K ,3.1,"ePromptus,Inc
3.1","Chicago, IL","Southfield, MI",1 to 50 employees,2005,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,1,50, IL
991,1136,Senior Digital Analytics Consultant,$60K,$105K ,3.6,"PK
3.6","Chicago, IL","Portland, OR",1001 to 5000 employees,2004,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,1001,5000, IL
992,1137,Senior Data Analyst,$60K,$105K ,-1,Leap,"Chicago, IL","Chicago, IL",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,Unknown,, IL
993,1138,Bioinformatics Scientist,$60K,$105K ,3.2,"Tempus Labs
3.2","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,TRUE,501,1000, IL
994,1139,Business Intelligence Analyst,$60K,$105K ,3.7,"Athletico
3.7","Oak Brook, IL","Oak Brook, IL",1001 to 5000 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1,-1,1001,5000, IL
995,1140,Junior Imaging Scientist,$60K,$105K ,3.2,"Tempus Labs
3.2","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,TRUE,501,1000, IL
996,1141,Senior Data Engineer,$60K,$105K ,5,"Centric Consulting
5.0","Chicago, IL","Dayton, OH",501 to 1000 employees,1999,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"Accenture, West Monroe, Slalom",-1,501,1000, IL
997,1142,Senior Google Analytics Manager,$60K,$105K ,4.6,"Marcel Media
4.6","Chicago, IL","Chicago, IL",1 to 50 employees,2003,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD),"Straight North, Digital Third Coast, Rise Interactive",-1,1,50, IL
998,1143,"Medical Laboratory Scientist - Immunology/Special Chemistry, Full-time, Evenings",$60K,$105K ,3.9,"Northwestern Memorial Healthcare
3.9","Chicago, IL","Chicago, IL",5001 to 10000 employees,1965,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Rush University Medical Center, UChicago Medicine",-1,5001,10000, IL
999,1144,"Medical Laboratory Scientist - Hemostasis, Full-time, Days",$60K,$105K ,3.9,"Northwestern Memorial Healthcare
3.9","Chicago, IL","Chicago, IL",5001 to 10000 employees,1965,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Rush University Medical Center, UChicago Medicine",-1,5001,10000, IL
1000,1145,"Medical Laboratory Scientist - Immunology Special Chemistry, Full-time, Evenings",$60K,$105K ,3.9,"Northwestern Memorial Healthcare
3.9","Chicago, IL","Chicago, IL",5001 to 10000 employees,1965,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Rush University Medical Center, UChicago Medicine",-1,5001,10000, IL
1001,1146,Spark AWS Data Engineer,$60K,$105K ,3.1,"Keylent
3.1","Chicago, IL","Wilmington, DE",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1,1,50, IL
1002,1147,Python Data Engineer Trading,$60K,$105K ,-1,Paul May & Associates,"Chicago, IL","Chicago, IL",1 to 50 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,1,50, IL
1003,1148,Informatica Data Modeler,$60K,$105K ,3.9,"Avanciers
3.9","Chicago, IL","Mississauga, Canada",1 to 50 employees,2015,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),-1,-1,1,50, IL
1004,1149,Data Analyst (MPI),$60K,$105K ,3.2,"Metropolitan Family Services
3.2","Chicago, IL","Chicago, IL",201 to 500 employees,1857,Company - Private,Membership Organizations,Business Services,$50 to $100 million (USD),-1,-1,201,500, IL
1005,1150,Data and Software Engineer,$60K,$105K ,3.2,"Kershner Trading Group
3.2","Chicago, IL","Austin, TX",51 to 200 employees,-1,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),-1,-1,51,200, IL
1006,1151,"Product Manager, Panel Data Science",$60K,$105K ,4.2,"360pi
4.2","Chicago, IL","Ottawa, Canada",1 to 50 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,-1,1,50, IL
1007,1152,Senior Manager- Data science/Operations research- Analytics & AI,$60K,$105K ,3.6,"Trianz
3.6","Chicago, IL","Santa Clara, CA",1001 to 5000 employees,2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,1001,5000, IL
1008,1153,Part Time Data Science Instructor (Data Science Bootcamp) - Promotable,$60K,$105K ,-1,1871 Member Companies,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, IL
1009,1154,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),$60K,$105K ,3.7,"BMO Financial Group
3.7","Chicago, IL","Toronto, Canada",10000+ employees,1817,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),"CIBC, RBC, TD",-1,10000+ employees,, IL
1010,1155,Data Production Analyst,$60K,$105K ,4.2,"NJF Global Holdings
4.2","Chicago, IL","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,TRUE,51,200, IL
1011,1156,Senior Data Analyst,$60K,$105K ,3.6,"Epiq Systems
3.6","Chicago, IL","New York, NY",5001 to 10000 employees,1988,Company - Private,Legal,Accounting & Legal,$1 to $2 billion (USD),-1,-1,5001,10000, IL
1012,1157,Data Architect,$60K,$105K ,3.2,"Tempus Labs
3.2","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,TRUE,501,1000, IL
1013,1158,Supervisory Research Health Scientist,$60K,$105K ,3.4,"Veterans Affairs, Veterans Health Administration
3.4","Hines, IL","Washington, DC",10000+ employees,1930,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,10000+ employees,, IL
1014,1159,"Sr. Data Analyst - Analytics, Marketing, CPG",$60K,$105K ,4.9,"Jobot
4.9","Chicago, IL","Irvine, CA",51 to 200 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1,51,200, IL
1015,1160,"Data Engineer _ Chicago, IL || 06+ Months Contract",$60K,$105K ,2.9,"Avtech solutions
2.9","Chicago, IL","Chennai, India",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,1,50, IL
1016,1161,Senior Environmental Research Scientist,$69K,$144K ,4.1,"MWRD of Greater Chicago
4.1","Chicago, IL","Chicago, IL",1001 to 5000 employees,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,1001,5000, IL
1017,1162,Cloud/Big Data Engineer,$69K,$144K ,3.9,"Edgilent Corp.
3.9","Chicago, IL","Schaumburg, IL",1 to 50 employees,2015,Subsidiary or Business Segment,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,1,50, IL
1018,1163,"Senior Scientist-Impact Forecasting-Wild Fire (Chicago, IL)",$69K,$144K ,3.5,"Aon
3.5","Chicago, IL","London, United Kingdom",10000+ employees,1892,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Mercer, Willis Towers Watson, Marsh & McLennan Companies",-1,10000+ employees,, IL
1019,1164,Big Data Engineer,$69K,$144K ,4.1,"Collabera
4.1","Chicago, IL","Basking Ridge, NJ",10000+ employees,1991,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Kforce, Insight Global, Volt Consulting Group",-1,10000+ employees,, IL
1020,1165,"Data Analyst, Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",$69K,$144K ,-1,Ernst & Young LLP,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, IL
1021,1166,Data Engineer,$69K,$144K ,-1,PatientIQ,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, IL
1022,1167,Junior Imaging Scientist,$69K,$144K ,3.3,"Tempus
3.3","Chicago, IL","Washington, DC",51 to 200 employees,1999,Company - Private,Financial Transaction Processing,Finance,$1 to $2 billion (USD),-1,-1,51,200, IL
1023,1168,Clinical Lab Scientist/MT I,$69K,$144K ,3.9,"OSF Healthcare System
3.9","Evergreen Park, IL","Peoria, IL",10000+ employees,1877,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),UnityPoint Health,-1,10000+ employees,, IL
1024,1169,Associate Research Scientist Behavioral Science,$69K,$144K ,-1,Ipsos North America,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,, IL
1025,1170,Data Analyst,$69K,$144K ,3.3,"Stampede Meat, Inc.
3.3","Bridgeview, IL","Bridgeview, IL",1001 to 5000 employees,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),-1,-1,1001,5000, IL
1026,1171,Data Science Developer,$69K,$144K ,3.4,"Infinity Consulting Solutions
3.4","Westmont, IL","New York, NY",501 to 1000 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"The Judge Group, Addison Group, PageGroup",-1,501,1000, IL
1027,1172,Data Engineer (Snowflake Production),$69K,$144K ,2.4,"Infoway Software
2.4","Chicago, IL","Sayreville, NJ",51 to 200 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1,51,200, IL
1028,1173,Big Data Consultant,$69K,$144K ,3.4,"TECHNOCRAFT Solutions
3.4","Chicago, IL","Hilliard, OH",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,1,50, IL
1029,1174,Lead Data Analyst,$69K,$144K ,3.3,"Centene Corporation
3.3","Chicago, IL","Saint Louis, MO",10000+ employees,1984,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,10000+ employees,, IL
1030,1175,BI Data Analyst,$69K,$144K ,3,"The Accuro Group
3.0","Chicago, IL","Raleigh, NC",201 to 500 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,201,500, IL
1031,1176,Data Engineer,$69K,$144K ,5,"Informatic Technologies Inc
5.0","Chicago, IL","Miami, FL",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,1,50, IL
1032,1177,Data Engineer,$69K,$144K ,5,"CultureFit Technology Staffing
5.0","Chicago, IL","Deerfield, IL",1 to 50 employees,1997,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,1,50, IL
1033,1178,Marketing Data Analyst - CPG,$69K,$144K ,5,"Foresight ROI
5.0","Chicago, IL","Chicago, IL",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,1,50, IL
1034,1179,Data Engineer,$69K,$144K ,3.2,"PDI Software
3.2","Chicago, IL","Atlanta, GA",501 to 1000 employees,1983,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Blue Yonder, SAP, NCR",TRUE,501,1000, IL
1035,1180,"Senior Quantitative Researcher, Strategy Developer, Buy-Side",$69K,$144K ,1,"Parallel Partners
1.0","Chicago, IL","San Diego, CA",51 to 200 employees,-1,Unknown,Real Estate,Real Estate,Unknown / Non-Applicable,-1,-1,51,200, IL
1036,1181,Business Analyst / Data Analyst,$69K,$144K ,3.9,"WIN Home Inspection
3.9","Chicago, IL","Seattle, WA",1 to 50 employees,-1,Franchise,Construction,"Construction, Repair & Maintenance",Less than $1 million (USD),-1,-1,1,50, IL
1037,1182,"AI/ML - Data Engineer - Chicago, IL",$69K,$144K ,3.7,"PRIMUS Global Services, Inc
3.7","Chicago, IL","Irving, TX",501 to 1000 employees,2002,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,501,1000, IL
1038,1183,Publicis Media - Senior Data Consultant (m/f/d) - Düsseldorf,$69K,$144K ,3.4,"Publicis Groupe
3.4","Chicago, IL","Paris, France",10000+ employees,1926,Company - Public,Advertising & Marketing,Business Services,$5 to $10 billion (USD),"Interpublic Group, Omnicom, WPP",-1,10000+ employees,, IL
1039,1184,Hiring=========Data Engineer ======,$69K,$144K ,2.9,"Avtech solutions
2.9","Chicago, IL","Chennai, India",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,1,50, IL
1040,1185,IT Data Engineer with Data Catalog,$69K,$144K ,3.8,"RiverPoint
3.8","Chicago, IL","Des Plaines, IL",1 to 50 employees,1988,Company - Private,Accounting,Accounting & Legal,$5 to $10 million (USD),-1,-1,1,50, IL
1041,1186,"Director of Data Science, Safe Haven",$69K,$144K ,4.6,"LiveRamp
4.6","Chicago, IL","San Francisco, CA",1001 to 5000 employees,2005,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,TRUE,1001,5000, IL
1042,1187,Translational Bioinformatics Scientist,$69K,$144K ,3.2,"Tempus Labs
3.2","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,TRUE,501,1000, IL
1043,1188,Data Engineer,$69K,$144K ,5,"SIMPLIFIED IT SOLUTIONS Inc
5.0","Chicago, IL","Boulder, CO",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1,1,50, IL
1044,1189,Big Data Engineer,$69K,$144K ,3.9,"Edgilent Corp.
3.9","Chicago, IL","Schaumburg, IL",1 to 50 employees,2015,Subsidiary or Business Segment,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,1,50, IL
